subjectid,true_label,predicted_prob,sensitive_attr_numeric
AED-90107,0,0.11756936460733414,1
AEE-90108,1,0.6703070998191833,0
AFO-90144,0,0.648166298866272,1
AHK-90192,1,0.0050576128996908665,1
AHO-90196,0,0.9506869912147522,1
AHZ-90207,0,0.04324320703744888,1
AID-90211,1,0.7229099273681641,1
AJH-90241,0,0.010313842445611954,1
AJR-90251,1,0.05247319117188454,0
AKF-90265,0,0.9370530843734741,1
ALE-90290,1,0.9138743281364441,1
ALJ-90295,0,0.012841775082051754,1
ALO-90300,0,0.00722530297935009,0
ALQ-90302,1,0.6451006531715393,1
ALX-90309,0,0.8936934471130371,0
ALZ-90311,0,0.032766375690698624,1
AMW-90334,1,0.6281895041465759,1
ANA-90338,0,0.00208943709731102,0
ANB-90339,1,0.4041477143764496,1
AOH-90371,1,0.5447936058044434,0
AOJ-90373,1,0.03968916833400726,1
AOP-90379,0,0.7818968892097473,1
API-90398,0,0.028465386480093002,1
APS-90408,0,0.1929507553577423,1
APX-90413,0,0.009688613936305046,1
AQA-90416,0,0.0014734755968675017,1
AQB-90417,0,0.7762624025344849,0
AQJ-90425,0,0.10241127759218216,1
AQQ-90432,1,0.992932915687561,0
ARS-90460,0,0.015163206495344639,1
ARV-90463,0,0.1435329020023346,0
ARW-90464,0,0.2619656026363373,0
ASG-90474,0,0.43137723207473755,1
AST-90487,0,0.7553138732910156,0
ASX-90491,1,0.05052678659558296,0
ATI-90502,0,0.1976553499698639,1
ATJ-90503,0,0.146621435880661,1
ATP-90509,0,0.4511241614818573,1
AUL-90531,0,0.04916112869977951,1
AUO-90534,0,0.29864320158958435,0
AWX-90595,0,0.05998295918107033,0
AWY-90596,0,0.8944809436798096,0
AXA-90598,0,0.8843311667442322,1
AXR-90615,0,0.20572391152381897,1
AZD-90653,1,0.5871002674102783,0
AZU-90670,0,0.5693150758743286,1
BAJ-90685,1,0.13534985482692719,1
BAL-90687,0,0.02170046605169773,1
BAN-90689,0,0.18579252064228058,1
BAQ-90692,0,0.5071340203285217,1
BBE-90706,0,0.38752785325050354,0
BBS-90720,0,0.6099473237991333,1
BBX-90725,0,0.0011793352896347642,1
BCD-90731,1,0.6158585548400879,0
BCQ-90744,1,0.8457443118095398,1
BDF-90759,1,0.8351106643676758,0
BDN-90767,0,0.4485635757446289,0
BDO-90768,1,0.7984268665313721,0
BGL-90843,0,0.36043450236320496,1
BHE-90862,0,0.035348109900951385,1
BIC-90886,0,0.4665171802043915,1
BII-90892,0,0.7448407411575317,0
BIS-90902,1,0.5051171183586121,0
BNE-91018,1,0.040217820554971695,0
BNQ-91030,0,0.7928227186203003,1
